Product,Keyword
iaq monitoring,"(?i)\bair[\s-]?quality\b"
iaq monitoring,"(?i)\bindoor[\s-]?air[\s-]?quality\b"
iaq monitoring,"(?i)\biaq\b"
iaq monitoring,"(?i)\bair[\s-]?quality[\s-]?monitor(?:ing)?\b"
iaq monitoring,"(?i)\benvironmental[\s-]?monitoring\b"
iaq monitoring,"(?i)\bair[\s-]?quality[\s-]?sensors?\b"
iaq monitoring,"(?i)\bair[\s-]?quality[\s-]?solution\b"
iaq monitoring,"(?i)\bair[\s-]?sampling\b"
iaq monitoring,"(?i)\bparticulate[\s-]?monitoring\b"
iaq monitoring,"(?i)\bpm[\s-]?2\.5\b"
iaq monitoring,"(?i)\bpm[\s-]?10\b"
iaq monitoring,"(?i)\bpm[\s-]?\d+\b"
iaq monitoring,"(?i)\bindoor[\s-]?environment(?:al)?(?:[\s-]?quality)?\b"
iaq monitoring,"(?i)\biaq[\s-]?(?:monitor(?:ing)?|system|index)?\b"
iaq monitoring,"(?i)\bvoc\b"
iaq monitoring,"(?i)\btemperature\b"
iaq monitoring,"(?i)\bi[\s\-]?a[\s\-]?q\b"
occupancy analytics,"(?i)\bden[s]?ity\b"
occupancy analytics,"(?i)\bconnect[\s-]?(dashboard|platform)(?:s)?\b"
occupancy analytics,"(?i)\bco[\s-]?workers?\b"
occupancy analytics,"(?i)\bdwell[\s-]?time(?:s)?\b"
occupancy analytics,"(?i)\bgroup[\s-]?size(?:s)?\b"
occupancy analytics,"(?i)\bhot[\s-]?desk(?:s)?\b"
occupancy analytics,"(?i)\boccupancy[\s-]?analytics\b"
occupancy analytics,"(?i)\breal[\s-]?time[\s-]?api(?:s)?\b"
occupancy analytics,"(?i)\breal[\s-]?time[\s-]?occupancy\b"
occupancy analytics,"(?i)\broom[\s-]?reservation(?:s)?\b"
occupancy analytics,"(?i)\bspace[\s-]?type(?:s)?\b"
occupancy analytics,"(?i)\bstream[\s-]?api(?:s)?\b"
occupancy analytics,"(?i)\butilization(?:s)?\b"
occupancy analytics,"(?i)\bvergesense\b"
occupancy analytics,"(?i)\bworkplace[\s-]?strategy\b"
occupancy analytics,"(?i)\bworkplace[\s-]?strategist(?:s)?\b"
occupancy analytics,"(?i)\bheat[\s-]?map(?:s)?\b"
occupancy analytics,"(?i)\bspace[\s-]?optimization\b"
occupancy analytics,"(?i)\bworkplace[\s-]?efficiency\b"
occupancy analytics,"(?i)\boccupancy[\s-]?data\b"
occupancy analytics,"(?i)\butilization[\s-]?metrics\b"
occupancy analytics,"(?i)\bconference[\s-]?room[\s-]?usage\b"
occupancy analytics,"(?i)\bdesk[\s-]?booking\b"
occupancy analytics,"(?i)\bworkplace[\s-]?analytics\b"
occupancy analytics,"(?i)\bspace[\s-]?usage\b"
occupancy analytics,"(?i)\boccupancy[\s-]?sensor(?:s)?\b"
occupancy analytics,"(?i)\bworkplace[\s-]?sensor(?:s)?\b"
occupancy analytics,"(?i)\bmotion[\s-]?sensor(?:s)?\b"
occupancy analytics,"(?i)\bbadge[\s-]?swipe[\s-]?data\b"
occupancy analytics,"(?i)\bspace[\s-]?utilization\b"
occupancy analytics,"(?i)\bpeople[\s-]?count(?:ing)?\b"
occupancy analytics,"(?i)\bspace[\s-]?occupancy\b"
occupancy analytics,"(?i)\butilization[\s-]?rate(?:s)?\b"
occupancy analytics,"(?i)\bworkplace[\s-]?insight(?:s)?\b"
occupancy analytics,"(?i)\bhead[\s-]?count(?:s)?\b"
occupancy analytics,"(?i)\bbuilding[\s-]?usage\b"
occupancy analytics,"(?i)\bfacility[\s-]?usage\b"
occupancy analytics,"(?i)\bpeople[\s-]?movement\b"
occupancy analytics,"(?i)\bentry[\s-]?exit[\s-]?count(?:ing)?\b"
occupancy analytics,"(?i)\barea[\s-]?counter\b"
occupancy analytics,"(?i)\bpassive[\s-]?occupancy\b"
occupancy analytics,"(?i)\bconnect[\s-]?onboarding\b"
occupancy analytics,"(?i)\bconnect[\s-]?dashboard\b"
occupancy analytics,"(?i)\bconnect[\s-]?app\b"
occupancy analytics,"(?i)\bconnect[\s-]?log[\s-]?in\b"
occupancy analytics,"(?i)\bconnect[\s-]?settings?\b"
occupancy analytics,"(?i)\bconnect[\s-]?account\b"
occupancy analytics,"(?i)\bconnect[\s-]?config(?:uration)?\b"
occupancy analytics,"(?i)\bfloor[\s\-]?plans?\b"
